,ligand_name,sequence_id,label
0,3,2,0
1,4,3,1
2,5,4,1
3,6,5,1
4,7,6,0
5,8,7,0
6,9,8,0
7,10,9,0
8,11,10,1
9,12,11,0
10,13,12,1
11,15,14,0
12,16,15,0
13,17,16,1
14,18,17,0
15,12,18,0
16,19,19,1
17,20,20,1
18,22,22,0
19,23,23,0
20,24,24,0
21,25,25,0
22,26,26,0
23,13,27,0
24,27,28,1
25,29,30,1
26,30,31,0
27,32,33,0
28,33,34,0
29,34,35,1
30,35,36,0
31,37,38,1
32,38,39,1
33,39,40,0
34,40,41,1
35,41,42,0
36,42,43,1
37,43,44,0
38,47,48,1
39,48,49,0
40,20,50,0
41,49,51,1
42,52,54,0
43,54,56,1
44,55,57,1
45,56,59,1
46,57,60,0
47,58,61,1
48,59,62,0
49,60,63,0
50,41,64,0
51,61,65,0
52,62,66,0
53,63,67,1
54,64,68,1
55,65,69,1
56,66,70,0
57,67,71,0
58,69,73,1
59,70,74,1
60,71,75,0
61,72,76,0
62,27,77,1
63,73,78,1
64,74,79,0
65,75,80,1
66,76,81,0
67,77,82,0
68,78,83,0
69,79,84,0
70,80,85,0
71,81,86,1
72,82,87,0
73,83,88,1
74,62,89,0
75,84,90,0
76,85,91,1
77,86,92,0
78,87,93,1
79,88,94,0
80,69,95,0
81,90,97,0
82,91,98,0
83,92,99,0
84,93,100,0
85,94,101,0
86,95,102,0
87,31,105,1
88,98,106,1
89,99,107,1
90,88,108,0
91,100,109,0
92,101,110,0
93,102,111,0
94,103,112,0
95,105,114,0
96,34,115,0
97,96,116,0
98,107,118,0
99,108,119,1
100,38,120,0
101,109,122,0
102,110,123,0
103,111,124,0
104,112,125,1
105,113,126,1
106,114,127,0
107,115,128,0
108,116,129,0
109,118,131,1
110,119,132,1
111,120,133,0
112,121,134,0
113,122,135,0
114,123,136,0
115,124,137,1
116,115,138,1
117,125,139,0
118,126,141,1
119,127,142,0
120,128,143,0
121,130,145,1
122,131,146,0
123,132,147,0
124,133,148,0
125,134,149,1
126,69,151,0
127,136,153,0
128,135,154,1
129,101,155,0
130,137,156,0
131,105,158,1
132,139,160,0
133,141,162,0
134,142,163,0
135,143,164,1
136,144,165,1
137,145,166,1
138,146,167,0
